"Course Number","Course Title","Course Catalog Code","Course Department Code","Prim Assoc","Meeting Number","Class Meeting Days","Class Begin Time (24 Hour)","Class End Time (24 Hour)","Instructor Name","Print on Schedule (Y/N)","Campus Code","Building Code","Room Number","Session Code","Year","Section Status","Section Number"
"AFRI010A AF","Intro to Africana Studies","UG12","PAFR","SC",64736,"--T-R--",1445,1600,"Schnyder, Damien M.","Y","PO","LINC","1109","FA",2012,"O","01"
"AFRI120  AF","Prisons and Public Education","UG12","SAFR","SC",64738,"---W---",1445,1730,"Schnyder, Damien M.","Y","SC","BL","219","FA",2012,"O","01"
"AFRI190  AF","Senior Seminar","UG12","PAFR","PO",63933,"--T-R--",935,1050,"Hurley, Eric A.","Y","PO","LINC","1109","FA",2012,"O","01"
"AFRI191  AF","Senior Thesis","UG12","PAFR","PO",63715,"-------",0,0,"Lemelle, Sidney J.","Y","","ARR","","FA",2012,"O","04"
"AFRI191  AF","Senior Thesis","UG12","PAFR","PO",63934,"-------",0,0,"Thomas, Valorie D.","Y","","ARR","","FA",2012,"O","06"
"AFRI191  AF","Senior Thesis","UG12","PAFR","PO",63716,"-------",0,0,"Walker, Sheila","Y","","ARR","","FA",2012,"O","08"
"AFRI191  AF","Senior Thesis","UG12","PAFR","PO",63716,"-------",0,0,"Walker, Sheila","Y","","ARR","","FA",2012,"O","08"
"AFRI192  AF","Senior Project","UG12","PAFR","PO",63727,"-------",0,0,"Walker, Sheila","Y","","ARR","","FA",2012,"O","01"
"AFRI192  AF","Senior Project","UG12","PAFR","PO",63727,"-------",0,0,"Walker, Sheila","Y","","ARR","","FA",2012,"O","01"
"AFRI193  AF","Senior Comprehensive Examination","UG12","PAFR","PO",63728,"-------",0,0,"Walker, Sheila","Y","","ARR","","FA",2012,"O","01"
"AFRI193  AF","Senior Comprehensive Examination","UG12","PAFR","PO",63728,"-------",0,0,"Walker, Sheila","Y","","ARR","","FA",2012,"O","01"
"AFRI199  AF","Indep Study: Africana Studies","UG12","SAFR","SC",65506,"-------",0,0,"Staff","Y","SC","ARR","","FA",2012,"O","01"
"AISS001ALKS","Accel Integrt Bio,Chem & Phys 1","UG12","CJSD","SC",64229,"-----F-",1315,1715,"Black, Kersey A.","Y","CU","KS","127","FA",2012,"O","01"
"AISS001ALKS","Accel Integrt Bio,Chem & Phys 1","UG12","CJSD","SC",64228,"-MTWRF-",900,1050,"Black, Kersey A.","Y","CU","KS","127","FA",2012,"O","01"
"AISS001ALKS","Accel Integrt Bio,Chem & Phys 1","UG12","CJSD","SC",64228,"-MTWRF-",900,1050,"Gould, Scot","Y","CU","KS","127","FA",2012,"O","01"
"AISS001ALKS","Accel Integrt Bio,Chem & Phys 1","UG12","CJSD","SC",64228,"-MTWRF-",900,1050,"Wiley, Emily","Y","CU","KS","127","FA",2012,"O","01"
"AISS001ALKS","Accel Integrt Bio,Chem & Phys 1","UG12","CJSD","SC",64229,"-----F-",1315,1715,"Gould, Scot","Y","CU","KS","127","FA",2012,"O","01"
"AISS001ALKS","Accel Integrt Bio,Chem & Phys 1","UG12","CJSD","SC",64229,"-----F-",1315,1715,"Wiley, Emily","Y","CU","KS","127","FA",2012,"O","01"
"AISS001BLKS","Accel Integrt Bio,Chem & Phys 2","UG12","CJSD","SC",64232,"-MTWRF-",900,1050,"Wiley, Emily","Y","CU","KS","127","FA",2012,"O","01"
"AISS001BLKS","Accel Integrt Bio,Chem & Phys 2","UG12","CJSD","SC",64232,"-MTWRF-",900,1050,"Black, Kersey A.","Y","CU","KS","127","FA",2012,"O","01"
"AISS001BLKS","Accel Integrt Bio,Chem & Phys 2","UG12","CJSD","SC",64233,"-----F-",1315,1715,"Gould, Scot","Y","CU","KS","127","FA",2012,"O","01"
"AISS001BLKS","Accel Integrt Bio,Chem & Phys 2","UG12","CJSD","SC",64232,"-MTWRF-",900,1050,"Gould, Scot","Y","CU","KS","127","FA",2012,"O","01"
"AISS001BLKS","Accel Integrt Bio,Chem & Phys 2","UG12","CJSD","SC",64233,"-----F-",1315,1715,"Black, Kersey A.","Y","CU","KS","127","FA",2012,"O","01"
"AISS001BLKS","Accel Integrt Bio,Chem & Phys 2","UG12","CJSD","SC",64233,"-----F-",1315,1715,"Wiley, Emily","Y","CU","KS","127","FA",2012,"O","01"
"AMST120  HM","Hyphenated Americans","UG12","HHSS","HM",65645,"-M-W---",1315,1430,"Balseiro, Isabel","Y","HM","PA","1264","FA",2012,"O","01"
"AMST180  SC","American Studies Seminar","UG12","SAMS","SC",64204,"-M-----",1445,1730,"Delmont, Matthew","Y","SC","HM","202","FA",2012,"O","01"
"AMST190  JT","Senior Thesis Seminar","UG12","CJT","PO",63935,"--T----",1315,1600,"Silverman, Victor I.","Y","PO","MA","202","FA",2012,"O","01"
"AMST191  PO","Senior Thesis","UG12","PAMS","PO",63936,"-------",0,0,"Staff","Y","","ARR","","FA",2012,"O","01"
"AMST199  SC","Independent St: American Studies","UG12","SAMS","SC",64817,"-------",0,0,"Staff","Y","SC","ARR","","FA",2012,"O","01"
"ANTH002  PZ","Intro Sociocultural Anthropology","UG12","ZANT","PZ",64203,"--T-R--",935,1050,"Martins, Leda L.","Y","PZ","BH","214","FA",2012,"O","01"
"ANTH002  SC","Intro Sociocultural Anthropology","UG12","SANT","SC",64212,"--T-R--",1200,1310,"Park, Seoyoung","Y","SC","HM","204","FA",2012,"O","01"
"ANTH009  PZ","Food, Culture, Power","UG12","ZANT","PZ",64209,"--T-R--",1315,1430,"Basu, Dipannita","Y","PZ","BH","210","FA",2012,"O","01"
"ANTH009  PZ","Food, Culture, Power","UG12","ZANT","PZ",64209,"--T-R--",1315,1430,"Soldatenko, Maria","Y","PZ","BH","210","FA",2012,"O","01"
"ANTH009  PZ","Food, Culture, Power","UG12","ZANT","PZ",64209,"--T-R--",1315,1430,"Chao, Emily","Y","PZ","BH","210","FA",2012,"O","01"
"ANTH016  PZ","Intro to Nepal","UG12","ZANT","PZ",64214,"-M-W---",1200,1310,"Chao, Emily","Y","PZ","BD","208","FA",2012,"O","01"
"ANTH051  PO","Intro to Sociocultural Anth","UG12","PANT","PO",63937,"-M-W---",1100,1215,"Gladney, Dru C.","Y","PO","HN","107","FA",2012,"O","01"
"ANTH051  PO","Intro to Sociocultural Anth","UG12","PANT","PO",65660,"--T-R--",1445,1600,"Shenoda, Anthony G.","Y","PO","HN","107","FA",2012,"O","02"
"ANTH053  PO","Language, Thought, and Culture","UG12","PANT","PO",63938,"--T-R--",935,1050,"Thomas, Lynn L.","Y","PO","HN","214","FA",2012,"O","01"
"ANTH067  PZ","Monkeys, Apes and Humans","UG12","ZANT","PZ",65397,"-M-----",1900,2150,"Staff","Y","PZ","AV","202","FA",2012,"O","01"
"ANTH088  PZ","China: Gender,Cosmology & State","UG12","ZANT","PZ",64217,"---W---",1445,1730,"Chao, Emily","Y","PZ","BH","207","FA",2012,"O","01"
"ANTH100  PZ","Cannibalism, Shamanism, Alterity","UG12","ZANT","PZ",65436,"-M-----",1445,1730,"Martins, Leda L.","Y","PZ","BH","204","FA",2012,"O","01"
"ANTH105  PZ","Field Methods in Anthropology","UG12","ZANT","PZ",64220,"-----F-",1315,1600,"Strauss, Claudia","Y","PZ","ATN","A103","FA",2012,"O","01"
"ANTH107  PO","Medical Anthropology","UG12","PANT","PO",63940,"--T-R--",935,1050,"Mahdavi, Pardis","Y","PO","HN","108","FA",2012,"O","01"
"ANTH111  HM","Intro Anth Science & Technology","UG12","HHSS","HM",63064,"--T-R--",1445,1600,"De Laet, Marianne","Y","HM","PA","B146","FA",2012,"O","01"
"ANTH113  SC","Ethnographic Tales of the City","UG12","SANT","SC",65395,"--T-R--",1445,1600,"Park, Seoyoung","Y","SC","HM","104","FA",2012,"O","01"
"ANTH115  HM","War and Conflict","UG12","HHSS","HM",63065,"---W---",1445,1730,"De Laet, Marianne","Y","HM","PA","B146","FA",2012,"O","01"
"ANTH120  PO","Altered States of Consciousness","UG12","PANT","PO",65661,"---W---",1315,1600,"Shenoda, Anthony G.","Y","PO","HN","216","FA",2012,"O","01"
"ANTH135  PO","The Social Life of Media","UG12","PANT","PO",63941,"--T-R--",1315,1430,"Thomas, Lynn L.","Y","PO","HN","214","FA",2012,"O","01"
"ANTH152  PO","Ethnic Nationalism","UG12","PANT","PO",63943,"--T----",1315,1600,"Gladney, Dru C.","Y","PO","HN","108","FA",2012,"O","01"
"ANTH171  SC","Seminar in Sexuality & Religion","UG12","SANT","SC",64600,"---W---",1445,1730,"Deeb, Lara","Y","SC","HM","103","FA",2012,"O","01"
"ANTH189K PO","Anthropology of Death and Dying","UG12","PSOC","PO",65662,"--T-R--",1315,1430,"Shenoda, Anthony G.","Y","PO","PR","003","FA",2012,"O","01"
"ANTH190  SC","Senior Seminar","UG12","SANT","SC",64719,"-M-W---",1200,1310,"Deeb, Lara","Y","SC","HM","103","FA",2012,"O","01"
"ANTH191  PO","Senior Thesis","UG12","PANT","PO",63731,"-------",0,0,"Gladney, Dru C.","Y","","ARR","","FA",2012,"O","04"
