"Course Number","Course Title","Course Catalog Code","Print on Schedule (Y/N)","Section Number","Section Title","Session Code","Year","Section Status","Section Begin Date","Section End Date","Section Credit Hours","Maximum Registration"
"AFRI010A AF","Intro to Africana Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"AFRI120  AF","Prisons and Public Education","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,21
"AFRI150W AF","Contemporary African Voices","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,16
"AFRI190  AF","Senior Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"AFRI191  AF","Senior Thesis","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"AFRI191  AF","Senior Thesis","UG12","Y","06","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"AFRI191  AF","Senior Thesis","UG12","Y","08","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"AFRI191  SC","Senior Thesis:Africana Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,10
"AFRI192  AF","Senior Project","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,99
"AFRI193  AF","Senior Comprehensive Examination","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,99
"AFRI199  AF","Indep Study: Africana Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"AISS001ALKS","Accel Integrt Bio,Chem & Phys 1","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,28
"AISS001BLKS","Accel Integrt Bio,Chem & Phys 2","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,28
"AMST120  HM","Hyphenated Americans","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,21
"AMST126  SC","Race in US Urban History","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"AMST180  PO","American Studies Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
"AMST180  SC","American Studies Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"AMST190  JT","Senior Thesis Seminar","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"AMST191  PO","Senior Thesis","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,20
"AMST199  SC","Independent St: American Studies","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0.5,10
"ANTH002  PZ","Intro Sociocultural Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ANTH002  SC","Intro Sociocultural Anthropology","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ANTH009  PZ","Food, Culture, Power","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,30
"ANTH016  PZ","Intro to Nepal","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,40
"ANTH020  SC","Anthropology of Latin America","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"ANTH051  PO","Intro to Sociocultural Anth","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,35
"ANTH051  PO","Intro to Sociocultural Anth","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"ANTH053  PO","Language, Thought, and Culture","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,15
